                 Estimate  Std. Error       t value     Pr(>|t|)
(Intercept)  1.493269e+00 0.012783344 116.813630902 0.000000e+00
X1          -1.179974e-01 0.042741880  -2.760697454 5.813241e-03
X2          -6.059037e-02 0.016169141  -3.747284305 1.831278e-04
X3           8.286067e-02 0.011290221   7.339154056 2.959124e-13
X4          -4.015001e-02 0.009672901  -4.150772746 3.433295e-05
X5           1.671330e-02 0.011895058   1.405062536 1.601367e-01
X6           4.849835e-05 0.010211497   0.004749387 9.962110e-01
X7          -1.704277e-02 0.010831735  -1.573410540 1.157603e-01
X8          -3.310274e-02 0.010795062  -3.066470230 2.191041e-03
X9          -6.750220e-03 0.011554828  -0.584190456 5.591491e-01
X10          1.076264e-02 0.011126732   0.967277475 3.335063e-01
X11          1.023908e-02 0.013535516   0.756460519 4.494500e-01
X12          7.988276e-03 0.010306297   0.775086998 4.383673e-01
X13          3.007597e-01 0.147709250   2.036160089 4.184780e-02
X14         -3.446709e-02 0.014207802  -2.425927086 1.534523e-02
X15         -4.663255e-02 0.013534098  -3.445560023 5.800238e-04
X16          4.352422e-02 0.013955154   3.118863259 1.837821e-03
X17         -4.004890e-03 0.009613068  -0.416608962 6.770030e-01
X18         -7.321059e-02 0.016421931  -4.458098578 8.663199e-06
X19          4.638107e-02 0.011429572   4.057988446 5.113691e-05
X20         -2.014104e-02 0.029654188  -0.679197011 4.970809e-01
X21          3.821128e-02 0.025008111   1.527955298 1.266601e-01
X22         -2.615810e-02 0.013935225  -1.877120700 6.062711e-02
X23          8.723005e-02 0.037064064   2.353493886 1.868104e-02
X24          2.038952e-02 0.012312102   1.656055178 9.784605e-02
X25         -1.985554e-02 0.014998377  -1.323846014 1.856848e-01
X26         -1.029000e-02 0.011086855  -0.928125890 3.534389e-01
X27         -2.805696e-02 0.017332337  -1.618763832 1.056342e-01
X28         -1.481834e-02 0.012558084  -1.179983772 2.381278e-01
X29          2.755106e-02 0.015699992   1.754845434 7.941791e-02
X30         -1.568571e-02 0.024191407  -0.648400165 5.167904e-01
X31          9.469844e-03 0.012448672   0.760711187 4.469070e-01
X32         -1.242955e-02 0.014099946  -0.881532032 3.781214e-01
X33          6.637578e-04 0.009857308   0.067336626 9.463195e-01
X34         -2.637545e-02 0.015426910  -1.709703760 8.745456e-02
X35          1.428793e-02 0.012525319   1.140723770 2.541028e-01
X36          2.546843e-02 0.009968683   2.554844193 1.068694e-02
